epoch;loss;sparse_categorical_accuracy;val_loss;val_sparse_categorical_accuracy
0;2.302583932876587;0.09871666878461838;2.3025851249694824;0.09799999743700027
1;2.302583932876587;0.09871666878461838;2.3025851249694824;0.09799999743700027
2;2.302583932876587;0.09871666878461838;2.3025851249694824;0.09799999743700027
3;2.302583932876587;0.09871666878461838;2.3025851249694824;0.09799999743700027
4;2.302583932876587;0.09871666878461838;2.3025851249694824;0.09799999743700027
5;2.302583932876587;0.09871666878461838;2.3025851249694824;0.09799999743700027
6;2.302583932876587;0.09871666878461838;2.3025851249694824;0.09799999743700027
7;2.302583932876587;0.09871666878461838;2.3025851249694824;0.09799999743700027
8;2.302583932876587;0.09871666878461838;2.3025851249694824;0.09799999743700027
9;2.302583932876587;0.09871666878461838;2.3025851249694824;0.09799999743700027
0;2.3017969131469727;0.10608333349227905;2.298672914505005;0.07500000298023224
1;2.2737526893615723;0.10925000160932541;2.238008975982666;0.11349999904632568
2;2.2554140090942383;0.13130000233650208;2.229809045791626;0.16449999809265137
3;2.252704381942749;0.14348334074020386;2.22652006149292;0.17810000479221344
4;2.2522051334381104;0.14875000715255737;2.225338935852051;0.18780000507831573
5;2.2502479553222656;0.15216666460037231;2.2234086990356445;0.19120000302791595
6;2.249350070953369;0.15424999594688416;2.221142292022705;0.19380000233650208
7;2.2472593784332275;0.15806666016578674;2.2179880142211914;0.20160000026226044
8;2.2441627979278564;0.16423332691192627;2.212615966796875;0.20190000534057617
9;2.2417187690734863;0.16573333740234375;2.2085189819335938;0.20180000364780426
0;2.30112361907959;0.10278332978487015;2.2919938564300537;0.0982000008225441
1;2.275052785873413;0.10930000245571136;2.2512919902801514;0.1225999966263771
2;2.2613089084625244;0.12610000371932983;2.2408688068389893;0.13729999959468842
3;2.2532968521118164;0.13321666419506073;2.2304980754852295;0.17630000412464142
4;2.2438242435455322;0.1532166600227356;2.217264175415039;0.18459999561309814
5;2.234546422958374;0.1648833304643631;2.208219528198242;0.1875
6;2.2307980060577393;0.1662999987602234;2.202904224395752;0.1867000013589859
7;2.2257723808288574;0.16689999401569366;2.1966004371643066;0.18619999289512634
8;2.2222366333007812;0.16851666569709778;2.192216634750366;0.18709999322891235
9;2.2195730209350586;0.19958333671092987;2.1888108253479004;0.272599995136261
0;2.275893449783325;0.14696666598320007;2.222869634628296;0.21040000021457672
1;2.226433038711548;0.23773333430290222;2.1906850337982178;0.2948000133037567
2;2.2034358978271484;0.2538999915122986;2.17486834526062;0.2930000126361847
3;2.193796157836914;0.2546166777610779;2.1687254905700684;0.2994000017642975
